Type,ano,tot_pop,density_pop,growth_pop,total_mor,life_expec_65_both_mor,life_expec_80_both_mor
World,1950,2471424,19.12,1.74,48487,11.38,5.07
World,1951,2514762,19.45,1.75,48176,11.42,5.06
World,1952,2559092,19.82,1.94,47383,11.6,5.16
World,1953,2609080,20.2,1.9,47240,11.66,5.15
World,1954,2659132,20.6,1.99,46662,11.84,5.26
World,1955,2712658,21.01,2.01,46636,11.88,5.26
World,1956,2767770,21.44,1.98,46479,11.9,5.24
World,1957,2823050,21.88,2.07,46881,11.95,5.3
World,1958,2882187,22.33,2,46518,12.12,5.39
World,1959,2940313,22.74,1.73,50725,11.87,5.32
World,1960,2991588,23.12,1.58,54612,11.65,5.25
World,1961,3039354,23.5,1.67,49919,12.04,5.42
World,1962,3090386,23.95,2.11,46061,12.33,5.46
World,1963,3156363,24.48,2.28,46913,12.41,5.51
World,1964,3229253,25.03,2.16,46823,12.59,5.66
World,1965,3299722,25.57,2.09,48214,12.53,5.61
World,1966,3369345,26.1,2.04,47842,12.65,5.69
World,1967,3438737,26.64,2,47569,12.76,5.75
World,1968,3508089,27.19,2.09,47629,12.76,5.71
World,1969,3582286,27.76,2.06,47816,12.81,5.79
World,1970,3656698,28.33,2.06,48163,12.94,5.86
World,1971,3732670,28.91,1.97,49384,12.98,5.89
World,1972,3807026,29.49,1.97,47770,13.16,5.97
World,1973,3882810,30.07,1.94,47573,13.25,5.98
World,1974,3958800,30.65,1.88,47478,13.37,6.05
World,1975,4034032,31.22,1.8,47623,13.46,6.1
World,1976,4107439,31.78,1.78,47707,13.53,6.13
World,1977,4181054,32.35,1.75,47167,13.7,6.26
World,1978,4254674,32.91,1.74,47293,13.76,6.28
World,1979,4329521,33.5,1.79,46964,13.87,6.35
World,1980,4407558,34.11,1.8,47350,13.88,6.33
World,1981,4487655,34.73,1.82,47471,13.98,6.39
World,1982,4569900,35.37,1.86,47659,14.07,6.46
World,1983,4655447,36.02,1.78,48207,14.08,6.44
World,1984,4739208,36.67,1.8,48431,14.16,6.52
World,1985,4825143,37.34,1.8,48773,14.19,6.5
World,1986,4912744,38.02,1.83,48644,14.32,6.59
World,1987,5003402,38.72,1.84,48657,14.45,6.67
World,1988,5096091,39.43,1.79,49183,14.5,6.68
World,1989,5187894,40.14,1.78,49178,14.61,6.75
World,1990,5280970,40.86,1.76,49794,14.65,6.77
World,1991,5374637,41.55,1.63,50108,14.74,6.83
World,1992,5462835,42.22,1.57,50282,14.83,6.89
World,1993,5549145,42.88,1.52,50832,14.83,6.86
World,1994,5633945,43.52,1.47,51931,14.9,6.93
World,1995,5717157,44.16,1.45,51407,15,6.96
World,1996,5800600,44.8,1.42,51411,15.11,7.03
World,1997,5883511,45.43,1.39,51432,15.22,7.08
World,1998,5966065,46.07,1.37,51854,15.3,7.12
World,1999,6048069,46.69,1.35,52184,15.35,7.12
World,2000,6129944,47.33,1.35,52240,15.47,7.21
World,2001,6213462,47.97,1.33,52431,15.58,7.29
World,2002,6296411,48.6,1.3,52758,15.64,7.31
World,2003,6379050,49.24,1.29,53077,15.7,7.33
World,2004,6461673,49.87,1.28,53188,15.86,7.45
World,2005,6545082,50.51,1.27,53390,15.94,7.47
World,2006,6628858,51.16,1.28,53282,16.09,7.57
World,2007,6714046,51.82,1.28,53410,16.21,7.62
World,2008,6800572,52.49,1.28,53987,16.28,7.65
World,2009,6888344,53.16,1.28,54123,16.43,7.74
World,2010,6977189,53.85,1.27,54269,16.54,7.78
World,2011,7066275,54.53,1.26,54581,16.66,7.85
World,2012,7155572,55.22,1.27,54795,16.77,7.88
World,2013,7246832,55.92,1.23,55093,16.89,7.95
World,2014,7336755,56.61,1.22,55545,17.01,8.04
World,2015,7426478,57.29,1.18,56306,17.07,8.05
World,2016,7514506,57.96,1.17,56757,17.19,8.14
World,2017,7602603,58.63,1.13,57572,17.23,8.15
World,2018,7688633,59.28,1.07,57793,17.35,8.23
World,2019,7771173,59.9,1.03,58355,17.45,8.3
World,2020,7851415,60.48,0.9,63546,16.77,7.91
World,2021,7922588,61,0.8,69728,16.21,7.71
World,2022,7986309,61.51,0.88,62279,17.34,8.19
World,2023,8056506,62.05,0.87,61652,17.57,8.31
